DATAFLOW,LAST UPDATE,freq,nace_r2,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Austria,2008,89.8,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Austria,2009,89.7,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Austria,2010,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Austria,2011,96.2,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Austria,2012,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Austria,2013,88.5,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Austria,2014,88.5,b
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Austria,2015,90.6,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Austria,2016,89.6,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Austria,2017,95.0,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Austria,2018,87.5,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Austria,2019,91.4,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Austria,2020,88.1,
