,Unnamed: 0,Field (ISCED-F 2013),Country,Year,Enrollment Count,Total,Distribution (%),Enrollment Growth Rate (%),Weighted Enrollment Growth Rate (%),Total Growth Rate (%),Tertiary Enrollment (%),Government expenditure on tertiary education (%),Individuals using the Internet (%)
0,0,"Agriculture, forestry, fisheries and veterinary",European Union,2016,50739.0,3152474.0,1.609497810291219,,,,21.79022,76.92178216524768,70.5147018432617
1,1,"Agriculture, forestry, fisheries and veterinary",European Union,2017,49867.0,3170104.0,1.573039875032491,-1.7185991052247778,-0.0275069839980013,0.5592433117608583,,78.71621610472319,71.7865982055664
2,2,"Agriculture, forestry, fisheries and veterinary",European Union,2018,50718.0,3216104.0,1.5770012412533922,1.706539394790142,0.0264605870954421,1.4510564953074097,,81.75642493273754,72.9127807617188
3,3,"Agriculture, forestry, fisheries and veterinary",European Union,2019,49985.0,3349200.0,1.492445957243521,-1.4452462636539296,-0.021885823480234,4.1384233843184175,,82.75927304265345,74.036018371582
4,4,"Agriculture, forestry, fisheries and veterinary",European Union,2020,44368.0,2801867.0,1.5835155630156603,-11.237371211363408,-0.200473470011246,-16.342201122656157,,84.7697008634166,74.9978790283203
5,5,"Agriculture, forestry, fisheries and veterinary",European Union,2021,45491.0,2849928.0,1.5962157640473724,2.5311034980165887,0.0394045042541425,1.7153205344864693,,86.95643650817448,77.8414077758789
6,6,"Agriculture, forestry, fisheries and veterinary",European Union,2022,41245.0,2818346.0,1.4634470004747466,-9.333714361082412,-0.1506557392172572,-1.10816834670911,,88.90388930458053,79.6943130493164
7,7,Arts and humanities,European Union,2016,467003.0,3152474.0,14.81385730699127,,,,21.79022,76.92178216524768,70.5147018432617
8,8,Arts and humanities,European Union,2017,463553.0,3170104.0,14.622643294983382,-0.7387532842401441,-0.1088292371480557,0.5592433117608583,,78.71621610472319,71.7865982055664
9,9,Arts and humanities,European Union,2018,469278.0,3216104.0,14.59150574732658,1.235025984083805,0.1780104125985975,1.4510564953074097,,81.75642493273754,72.9127807617188
10,10,Arts and humanities,European Union,2019,475398.0,3349200.0,14.194374776065926,1.3041310268113997,0.1827302042278753,4.1384233843184175,,82.75927304265345,74.036018371582
11,11,Arts and humanities,European Union,2020,382765.0,2801867.0,13.6610695654005,-19.485357532004763,-3.306116957014733,-16.342201122656157,,84.7697008634166,74.9978790283203
12,12,Arts and humanities,European Union,2021,389844.0,2849928.0,13.679082418924269,1.8494376445077267,0.2483922400846618,1.7153205344864693,,86.95643650817448,77.8414077758789
13,13,Arts and humanities,European Union,2022,371992.0,2818346.0,13.198947183915672,-4.579267604477689,-0.633421162625171,-1.10816834670911,,88.90388930458053,79.6943130493164
14,14,"Business, administration and law",European Union,2016,679045.0,3152474.0,21.540066627036417,,,,21.79022,76.92178216524768,70.5147018432617
15,15,"Business, administration and law",European Union,2017,686480.0,3170104.0,21.654810063013706,1.0949200715711034,0.2345348922306649,0.5592433117608583,,78.71621610472319,71.7865982055664
16,16,"Business, administration and law",European Union,2018,689941.0,3216104.0,21.45269555959633,0.5041661810977742,0.1076146791272919,1.4510564953074097,,81.75642493273754,72.9127807617188
17,17,"Business, administration and law",European Union,2019,755524.0,3349200.0,22.558342290696284,9.505595405983987,1.95816911501254,4.1384233843184175,,82.75927304265345,74.036018371582
18,18,"Business, administration and law",European Union,2020,636057.0,2801867.0,22.7011846029808,-15.812469226655937,-4.263835506824557,-16.342201122656157,,84.7697008634166,74.9978790283203
19,19,"Business, administration and law",European Union,2021,651626.0,2849928.0,22.864647808646392,2.447736602222757,0.5462945028786692,1.7153205344864693,,86.95643650817448,77.8414077758789
20,20,"Business, administration and law",European Union,2022,651603.0,2818346.0,23.12004984483807,-0.0035296320281879,-0.00081608148893,-1.10816834670911,,88.90388930458053,79.6943130493164
21,21,Education,European Union,2016,197463.0,3152474.0,6.263747139548177,,,,21.79022,76.92178216524768,70.5147018432617
22,22,Education,European Union,2017,208419.0,3170104.0,6.574516167292934,5.5483812157214265,0.3456038035345213,0.5592433117608583,,78.71621610472319,71.7865982055664
23,23,Education,European Union,2018,207545.0,3216104.0,6.453304992624616,-0.4193475642815674,-0.0271757380980217,1.4510564953074097,,81.75642493273754,72.9127807617188
24,24,Education,European Union,2019,210481.0,3349200.0,6.284515705243043,1.4146329711628804,0.0876627254269676,4.1384233843184175,,82.75927304265345,74.036018371582
25,25,Education,European Union,2020,187795.0,2801867.0,6.7024951576930665,-10.778170001092736,-0.8096744063868843,-16.342201122656157,,84.7697008634166,74.9978790283203
26,26,Education,European Union,2021,187922.0,2849928.0,6.593920969231504,0.0676269336244309,0.0044562529298985,1.7153205344864693,,86.95643650817448,77.8414077758789
27,27,Education,European Union,2022,184438.0,2818346.0,6.544192941533793,-1.853960685816456,-0.1236186046709666,-1.10816834670911,,88.90388930458053,79.6943130493164
28,28,"Engineering, manufacturing and construction",European Union,2016,471657.0,3152474.0,14.961487390538352,,,,21.79022,76.92178216524768,70.5147018432617
29,29,"Engineering, manufacturing and construction",European Union,2017,454916.0,3170104.0,14.350191665636206,-3.549401365823045,-0.528089930172638,0.5592433117608583,,78.71621610472319,71.7865982055664
30,30,"Engineering, manufacturing and construction",European Union,2018,455320.0,3216104.0,14.157502369326364,0.0888076040411856,0.0125617828279185,1.4510564953074097,,81.75642493273754,72.9127807617188
31,31,"Engineering, manufacturing and construction",European Union,2019,488643.0,3349200.0,14.589842350412038,7.318589124132478,0.994954018870178,4.1384233843184175,,82.75927304265345,74.036018371582
32,32,"Engineering, manufacturing and construction",European Union,2020,424050.0,2801867.0,15.134551354507549,-13.218853027670509,-2.3053556789098124,-16.342201122656157,,84.7697008634166,74.9978790283203
33,33,"Engineering, manufacturing and construction",European Union,2021,417841.0,2849928.0,14.661458114029548,-1.464214125692725,-0.2178651530845691,1.7153205344864693,,86.95643650817448,77.8414077758789
34,34,"Engineering, manufacturing and construction",European Union,2022,421362.0,2818346.0,14.95068384080592,0.8426650328713554,0.1249314314140279,-1.10816834670911,,88.90388930458053,79.6943130493164
35,35,Health and welfare,European Union,2016,315939.0,3152474.0,10.021938325264538,,,,21.79022,76.92178216524768,70.5147018432617
36,36,Health and welfare,European Union,2017,330803.0,3170104.0,10.435083517764715,4.7047056552055935,0.4688805162228116,0.5592433117608583,,78.71621610472319,71.7865982055664
37,37,Health and welfare,European Union,2018,327490.0,3216104.0,10.182817471076806,-1.0015024047544914,-0.1030128378933019,1.4510564953074097,,81.75642493273754,72.9127807617188
38,38,Health and welfare,European Union,2019,333795.0,3349200.0,9.9664098889287,1.925249625942777,0.1882539113818225,4.1384233843184175,,82.75927304265345,74.036018371582
39,39,Health and welfare,European Union,2020,276866.0,2801867.0,9.881482597139692,-17.055078715978368,-2.0318237803578825,-16.342201122656157,,84.7697008634166,74.9978790283203
40,40,Health and welfare,European Union,2021,311628.0,2849928.0,10.934592031798696,12.555532279153091,1.2197501129853103,1.7153205344864693,,86.95643650817448,77.8414077758789
41,41,Health and welfare,European Union,2022,317879.0,2818346.0,11.278920331286509,2.005917311666474,0.221796755969636,-1.10816834670911,,88.90388930458053,79.6943130493164
42,42,Information and communication technologies,European Union,2016,160699.0,3152474.0,5.097551954433248,,,,21.79022,76.92178216524768,70.5147018432617
43,43,Information and communication technologies,European Union,2017,163279.0,3170104.0,5.150588119506489,1.6054860328937954,0.0813853425628938,0.5592433117608583,,78.71621610472319,71.7865982055664
44,44,Information and communication technologies,European Union,2018,172465.0,3216104.0,5.362544246081594,5.625953123181794,0.2856250917258895,1.4510564953074097,,81.75642493273754,72.9127807617188
45,45,Information and communication technologies,European Union,2019,177022.0,3349200.0,5.285501015167801,2.642275244252457,0.1360623432461483,4.1384233843184175,,82.75927304265345,74.036018371582
46,46,Information and communication technologies,European Union,2020,143488.0,2801867.0,5.121156714433626,-18.943408163957024,-1.1968448181159208,-16.342201122656157,,84.7697008634166,74.9978790283203
47,47,Information and communication technologies,European Union,2021,137887.0,2849928.0,4.8382625806687045,-3.90346231043711,-0.1965312807902515,1.7153205344864693,,86.95643650817448,77.8414077758789
48,48,Information and communication technologies,European Union,2022,144312.0,2818346.0,5.120450079585686,4.659612581316585,0.2279705898424111,-1.10816834670911,,88.90388930458053,79.6943130493164
49,49,"Natural sciences, mathematics and statistics",European Union,2016,325899.0,3152474.0,10.337880661347247,,,,21.79022,76.92178216524768,70.5147018432617
50,50,"Natural sciences, mathematics and statistics",European Union,2017,325006.0,3170104.0,10.252218854649565,-0.2740112734313392,-0.0281694228328155,0.5592433117608583,,78.71621610472319,71.7865982055664
51,51,"Natural sciences, mathematics and statistics",European Union,2018,330376.0,3216104.0,10.27255337513961,1.6522771887288237,0.1669722123413919,1.4510564953074097,,81.75642493273754,72.9127807617188
52,52,"Natural sciences, mathematics and statistics",European Union,2019,336685.0,3349200.0,10.052699152036308,1.909642346901712,0.1883733428878538,4.1384233843184175,,82.75927304265345,74.036018371582
53,53,"Natural sciences, mathematics and statistics",European Union,2020,241664.0,2801867.0,8.625106045361896,-28.22252253590151,-3.3913458418975635,-16.342201122656157,,84.7697008634166,74.9978790283203
54,54,"Natural sciences, mathematics and statistics",European Union,2021,245698.0,2849928.0,8.621200254883632,1.6692597987288136,0.1415474355843375,1.7153205344864693,,86.95643650817448,77.8414077758789
55,55,"Natural sciences, mathematics and statistics",European Union,2022,236819.0,2818346.0,8.402765309866142,-3.6137860300043134,-0.3150429365308589,-1.10816834670911,,88.90388930458053,79.6943130493164
56,56,Services,European Union,2016,127634.0,3152474.0,4.048693185098434,,,,21.79022,76.92178216524768,70.5147018432617
57,57,Services,European Union,2017,122499.0,3170104.0,3.8641949917100513,-4.023222652271338,-0.1619820674652944,0.5592433117608583,,78.71621610472319,71.7865982055664
58,58,Services,European Union,2018,137623.0,3216104.0,4.279183757739178,12.346223234475383,0.4702584244788103,1.4510564953074097,,81.75642493273754,72.9127807617188
59,59,Services,European Union,2019,139871.0,3349200.0,4.176251045025678,1.63344789751713,0.0671205063895855,4.1384233843184175,,82.75927304265345,74.036018371582
60,60,Services,European Union,2020,141433.0,2801867.0,5.047812761990487,1.116743284883929,0.0557485419543468,-16.342201122656157,,84.7697008634166,74.9978790283203
61,61,Services,European Union,2021,140633.0,2849928.0,4.934615892050606,-0.5656388537328628,-0.0280708845977863,1.7153205344864693,,86.95643650817448,77.8414077758789
