"Degree","Country","Year","Over-qualification (%)","Undergraduate enrollment (%)"
"Information and communication technologies","Austria",2013,,4.9
"Information and communication technologies","Austria",2014,,5.7
"Information and communication technologies","Austria",2015,,5
"Information and communication technologies","Austria",2016,12.6,6
"Information and communication technologies","Austria",2017,,5
"Information and communication technologies","Austria",2018,,6
"Information and communication technologies","Austria",2019,10.2,6
"Information and communication technologies","Austria",2020,,7
"Information and communication technologies","Austria",2021,,7
"Information and communication technologies","Austria",2022,7.6,7
"Information and communication technologies","Belgium",2013,7.6,2.7
"Information and communication technologies","Belgium",2014,5.6,2.7
"Information and communication technologies","Belgium",2015,6.4,3.6
"Information and communication technologies","Belgium",2016,,3.8
"Information and communication technologies","Belgium",2017,7.2,4.1
"Information and communication technologies","Belgium",2018,4.3,4
"Information and communication technologies","Belgium",2019,4.3,5
"Information and communication technologies","Belgium",2021,8.1,5
"Information and communication technologies","Belgium",2022,7.6,5
"Information and communication technologies","Bulgaria",2013,,4
"Information and communication technologies","Bulgaria",2014,15.7,4.7
"Information and communication technologies","Bulgaria",2015,12.5,5
"Information and communication technologies","Bulgaria",2017,9,7
"Information and communication technologies","Cyprus",2013,30.5,4.8
"Information and communication technologies","Cyprus",2014,28,4.9
"Information and communication technologies","Cyprus",2015,,4
"Information and communication technologies","Cyprus",2016,18.3,5
"Information and communication technologies","Cyprus",2017,18.7,4
"Information and communication technologies","Cyprus",2018,23.1,5
"Information and communication technologies","Cyprus",2019,17,5
"Information and communication technologies","Cyprus",2020,,4
"Information and communication technologies","Cyprus",2021,12.9,4
"Information and communication technologies","Cyprus",2022,13.8,6
"Information and communication technologies","Czechia",2013,4.5,7.1
"Information and communication technologies","Czechia",2014,5.8,7
"Information and communication technologies","Czechia",2015,5.8,6
"Information and communication technologies","Czechia",2016,8.5,6
"Information and communication technologies","Czechia",2017,7.1,7
"Information and communication technologies","Czechia",2018,6.1,8
"Information and communication technologies","Czechia",2019,6,8
"Information and communication technologies","Czechia",2020,1.3,8
"Information and communication technologies","Czechia",2021,2.7,8
"Information and communication technologies","Czechia",2022,1.7,8
"Information and communication technologies","Germany",2013,12.2,6.7
"Information and communication technologies","Germany",2014,11.4,6.7
"Information and communication technologies","Germany",2015,9.2,7
"Information and communication technologies","Germany",2016,8.8,7.4
"Information and communication technologies","Germany",2017,10.1,7.6
"Information and communication technologies","Germany",2018,9,8
"Information and communication technologies","Germany",2019,8,7
"Information and communication technologies","Germany",2020,,7
"Information and communication technologies","Germany",2021,7.3,7
"Information and communication technologies","Germany",2022,6.5,7
"Information and communication technologies","Denmark",2013,,4.7
"Information and communication technologies","Denmark",2014,,4.7
"Information and communication technologies","Denmark",2015,11.3,3
"Information and communication technologies","Denmark",2016,10.7,4
"Information and communication technologies","Denmark",2017,,4
"Information and communication technologies","Denmark",2018,,4
"Information and communication technologies","Denmark",2019,,4
"Information and communication technologies","Denmark",2020,,4
"Information and communication technologies","Denmark",2021,,5
"Information and communication technologies","Denmark",2022,8.3,5
"Information and communication technologies","Estonia",2013,,11.2
"Information and communication technologies","Estonia",2014,,11.1
"Information and communication technologies","Estonia",2015,,9.7
"Information and communication technologies","Estonia",2016,,9
"Information and communication technologies","Estonia",2017,,9
"Information and communication technologies","Estonia",2018,,10
"Information and communication technologies","Estonia",2019,,12
"Information and communication technologies","Estonia",2020,,12
"Information and communication technologies","Estonia",2021,,12
"Information and communication technologies","Estonia",2022,,11
"Information and communication technologies","Greece",2013,23.2,6.7
"Information and communication technologies","Greece",2014,26.7,5.6
"Information and communication technologies","Greece",2015,33.3,3.8
"Information and communication technologies","Greece",2016,32.5,3.4
"Information and communication technologies","Greece",2017,34.6,3
"Information and communication technologies","Greece",2018,34.4,4
"Information and communication technologies","Greece",2019,41.3,4
"Information and communication technologies","Greece",2020,28.1,4
"Information and communication technologies","Greece",2021,31.4,4
"Information and communication technologies","Greece",2022,26.2,5
"Information and communication technologies","Spain",2013,9.5,3.5
"Information and communication technologies","Spain",2014,10.3,3.7
"Information and communication technologies","Spain",2015,9.8,4
"Information and communication technologies","Spain",2016,10.7,4
"Information and communication technologies","Spain",2017,11.3,4
"Information and communication technologies","Spain",2018,9.3,4
"Information and communication technologies","Spain",2019,9.9,4
"Information and communication technologies","Spain",2020,9.6,4
"Information and communication technologies","Spain",2021,8.2,4
"Information and communication technologies","Spain",2022,6.7,5
"Information and communication technologies","Finland",2013,,8.6
"Information and communication technologies","Finland",2014,,8.5
"Information and communication technologies","Finland",2015,,9
"Information and communication technologies","Finland",2016,,9
"Information and communication technologies","Finland",2017,,8
"Information and communication technologies","Finland",2018,,8
"Information and communication technologies","Finland",2019,,9
"Information and communication technologies","Finland",2020,,9
"Information and communication technologies","Finland",2021,,10
"Information and communication technologies","Finland",2022,,10
"Information and communication technologies","France",2016,8.6,3.5
"Information and communication technologies","France",2017,9.1,1.8
"Information and communication technologies","France",2019,6.9,2
"Information and communication technologies","France",2020,7.1,2
"Information and communication technologies","France",2021,3.6,2
"Information and communication technologies","France",2022,5,3
"Information and communication technologies","Croatia",2015,8.9,5
"Information and communication technologies","Croatia",2016,12.6,5
"Information and communication technologies","Croatia",2017,,5
"Information and communication technologies","Croatia",2018,,6
"Information and communication technologies","Croatia",2019,,6
"Information and communication technologies","Croatia",2020,,8
"Information and communication technologies","Croatia",2021,18.5,7
"Information and communication technologies","Croatia",2022,13.5,7
"Information and communication technologies","Hungary",2013,11.2,4.5
"Information and communication technologies","Hungary",2014,,4.4
"Information and communication technologies","Hungary",2015,,4.3
"Information and communication technologies","Hungary",2016,10.2,4.8
"Information and communication technologies","Hungary",2017,,9.3
"Information and communication technologies","Hungary",2018,,11
"Information and communication technologies","Hungary",2019,,12
"Information and communication technologies","Hungary",2020,,11
"Information and communication technologies","Hungary",2021,8.1,12
"Information and communication technologies","Hungary",2022,7.8,12
"Information and communication technologies","Ireland",2013,15.8,6
"Information and communication technologies","Ireland",2014,20,8.8
"Information and communication technologies","Ireland",2015,19,9
"Information and communication technologies","Ireland",2016,15.7,10
"Information and communication technologies","Ireland",2017,13.8,10
"Information and communication technologies","Ireland",2018,12.9,9
"Information and communication technologies","Ireland",2019,12.4,8
"Information and communication technologies","Ireland",2020,14,7
"Information and communication technologies","Ireland",2021,12.8,6
"Information and communication technologies","Ireland",2022,10.3,7
"Information and communication technologies","Italy",2013,6.9,1.8
"Information and communication technologies","Italy",2014,9.1,2
"Information and communication technologies","Italy",2015,10,8
"Information and communication technologies","Italy",2016,10.3,2.3
"Information and communication technologies","Italy",2017,9.6,2.4
"Information and communication technologies","Italy",2018,9.5,3
"Information and communication technologies","Italy",2019,8.7,2
"Information and communication technologies","Italy",2020,9.3,2
"Information and communication technologies","Italy",2021,10.7,3
"Information and communication technologies","Italy",2022,9.1,3
"Information and communication technologies","Lithuania",2013,,2.5
"Information and communication technologies","Lithuania",2014,,3.3
"Information and communication technologies","Lithuania",2015,,4
"Information and communication technologies","Lithuania",2016,14,5
"Information and communication technologies","Lithuania",2017,12.4,7
"Information and communication technologies","Lithuania",2018,7.8,8
"Information and communication technologies","Lithuania",2019,6.4,8
"Information and communication technologies","Lithuania",2020,7.3,8
"Information and communication technologies","Lithuania",2021,7.7,8
"Information and communication technologies","Lithuania",2022,8.1,8
"Information and communication technologies","Luxembourg",2013,,3.8
"Information and communication technologies","Luxembourg",2014,,4.5
"Information and communication technologies","Luxembourg",2015,,4
"Information and communication technologies","Luxembourg",2016,,6
"Information and communication technologies","Luxembourg",2017,,6
"Information and communication technologies","Luxembourg",2018,,10
"Information and communication technologies","Luxembourg",2019,,8
"Information and communication technologies","Luxembourg",2020,,9
"Information and communication technologies","Luxembourg",2021,,9
"Information and communication technologies","Luxembourg",2022,,9
"Information and communication technologies","Latvia",2013,,5.8
"Information and communication technologies","Latvia",2014,,6.4
"Information and communication technologies","Latvia",2015,,7
"Information and communication technologies","Latvia",2016,,8
"Information and communication technologies","Latvia",2017,,8
"Information and communication technologies","Latvia",2018,24,9
"Information and communication technologies","Latvia",2019,,9
"Information and communication technologies","Latvia",2020,,10
"Information and communication technologies","Latvia",2021,,11
"Information and communication technologies","Latvia",2022,,10
"Information and communication technologies","Malta",2013,,11.6
"Information and communication technologies","Malta",2014,,13.7
"Information and communication technologies","Malta",2015,,8.6
"Information and communication technologies","Malta",2016,,12.1
"Information and communication technologies","Malta",2017,,9
"Information and communication technologies","Malta",2018,,13
"Information and communication technologies","Malta",2019,,10
