"year","area","concept","level","metric","value"
"2000","AUT","hisced","high","freq",38.1180821079136
"2000","AUT","hisced","high","freq_se",0.987929796523824
"2000","AUT","hisced","low","freq",1.54422205003431
"2000","AUT","hisced","low","freq_se",0.24640613848346
"2000","AUT","hisced","medium","freq",60.3376958420521
"2000","AUT","hisced","medium","freq_se",0.967787020148588
"2000","BEL","hisced","high","freq",82.2175600910571
"2000","BEL","hisced","high","freq_se",0.785697302860814
"2000","BEL","hisced","low","freq",4.32948777407166
"2000","BEL","hisced","low","freq_se",0.48585907215386
"2000","BEL","hisced","medium","freq",13.4529521348713
"2000","BEL","hisced","medium","freq_se",0.593708734760401
"2000","BGR","hisced","high","freq",95.5022419038514
"2000","BGR","hisced","high","freq_se",0.425577153591279
"2000","BGR","hisced","low","freq",0.625504788599402
"2000","BGR","hisced","low","freq_se",0.156751702239611
"2000","BGR","hisced","medium","freq",3.87225330754922
"2000","BGR","hisced","medium","freq_se",0.352344778402865
"2000","CZE","hisced","high","freq",68.0516011770389
"2000","CZE","hisced","high","freq_se",1.03286530852419
"2000","CZE","hisced","low","freq",0.69443117023326
"2000","CZE","hisced","low","freq_se",0.238041019033447
"2000","CZE","hisced","medium","freq",31.2539676527278
"2000","CZE","hisced","medium","freq_se",0.993978048280927
"2000","DEU","hisced","high","freq",52.1750614777187
"2000","DEU","hisced","high","freq_se",1.0197064663905
"2000","DEU","hisced","low","freq",1.90968600319999
"2000","DEU","hisced","low","freq_se",0.265861142933732
"2000","DEU","hisced","medium","freq",45.9152525190813
"2000","DEU","hisced","medium","freq_se",0.996041687700667
"2000","DNK","hisced","high","freq",73.7184405798433
"2000","DNK","hisced","high","freq_se",1.03927031345235
"2000","DNK","hisced","low","freq",1.42991216119475
"2000","DNK","hisced","low","freq_se",0.224559913944594
"2000","DNK","hisced","medium","freq",24.8516472589619
"2000","DNK","hisced","medium","freq_se",0.97350713812762
"2000","ESP","hisced","high","freq",48.4585924882013
"2000","ESP","hisced","high","freq_se",1.67774077326474
"2000","ESP","hisced","low","freq",32.6439273529301
"2000","ESP","hisced","low","freq_se",1.37754971632292
"2000","ESP","hisced","medium","freq",18.8974801588685
"2000","ESP","hisced","medium","freq_se",0.747245935331594
"2000","FIN","hisced","high","freq",50.5673613489657
"2000","FIN","hisced","high","freq_se",1.10947101989577
