"year","area","concept","level","metric","value"
"2000","AUT","books","0_10","freq",7.55165142182178
"2000","AUT","books","0_10","freq_se",0.549814879076599
"2000","AUT","books","101_200","freq",23.8612580546154
"2000","AUT","books","101_200","freq_se",0.792396611055747
"2000","AUT","books","11_25","freq",18.3020484581717
"2000","AUT","books","11_25","freq_se",0.707425033060278
"2000","AUT","books","201_500","freq",14.987534778419
"2000","AUT","books","201_500","freq_se",0.777648116307196
"2000","AUT","books","26_100","freq",25.0116546801276
"2000","AUT","books","26_100","freq_se",0.830983331683094
"2000","AUT","books","more_500","freq",10.2858526068444
"2000","AUT","books","more_500","freq_se",0.599593502743373
"2000","AUT","artworks","no","freq",35.4917607058204
"2000","AUT","artworks","no","freq_se",1.05007171539715
"2000","AUT","artworks","yes","freq",64.5082392941796
"2000","AUT","artworks","yes","freq_se",1.05007171539714
"2000","AUT","classics","no","freq",55.4447705903421
"2000","AUT","classics","no","freq_se",1.02304300084128
"2000","AUT","classics","yes","freq",44.5552294096579
"2000","AUT","classics","yes","freq_se",1.02304300084128
"2000","AUT","lonely","agree","freq",7.16812708704414
"2000","AUT","lonely","agree","freq_se",0.414858822821013
"2000","AUT","lonely","disagree","freq",23.6521485407541
"2000","AUT","lonely","disagree","freq_se",0.702175464842186
"2000","AUT","lonely","strongly_agree","freq",3.08671628408338
"2000","AUT","lonely","strongly_agree","freq_se",0.30518057563325
"2000","AUT","lonely","strongly_disagree","freq",66.0930080881184
"2000","AUT","lonely","strongly_disagree","freq_se",0.925719505388145
"2000","AUT","computer","daily","freq",41.3698232563077
"2000","AUT","computer","daily","freq_se",1.32600456059303
"2000","AUT","computer","monthly","freq",7.57641434877017
"2000","AUT","computer","monthly","freq_se",0.46512365019978
"2000","AUT","computer","never","freq",15.655632273329
"2000","AUT","computer","never","freq_se",1.07045646702857
"2000","AUT","computer","weekly","freq",27.0328117609331
"2000","AUT","computer","weekly","freq_se",0.923542998071261
"2000","AUT","computer","yearly","freq",8.36531836066005
"2000","AUT","computer","yearly","freq_se",0.504522070828141
"2000","BEL","books","0_10","freq",16.1691496129943
"2000","BEL","books","0_10","freq_se",0.675241736277743
