year,area,concept,hisced,metric,value
2000,AUT,math_score,high,mean,545.599095623629
2000,AUT,math_score,high,mean_se,15.5768130628925
2000,AUT,math_score,low,mean,455.364347282036
2000,AUT,math_score,low,mean_se,433.458646373526
2000,AUT,math_score,medium,mean,503.432811337464
2000,AUT,math_score,medium,mean_se,8.25422821519216
2000,AUT,reading_score,high,mean,537.161860205362
2000,AUT,reading_score,high,mean_se,3.36175461388796
2000,AUT,reading_score,low,mean,432.284285323207
2000,AUT,reading_score,low,mean_se,19.2194841791972
2000,AUT,reading_score,medium,mean,498.954239979893
2000,AUT,reading_score,medium,mean_se,2.60607788270206
2000,BEL,math_score,high,mean,540.23031825368
2000,BEL,math_score,high,mean_se,15.7234073455372
2000,BEL,math_score,low,mean,412.679543255974
2000,BEL,math_score,low,mean_se,87.7325947833291
2000,BEL,math_score,medium,mean,480.494073643819
2000,BEL,math_score,medium,mean_se,38.5198093269511
2000,BEL,reading_score,high,mean,530.156560139916
2000,BEL,reading_score,high,mean_se,2.99347843642301
2000,BEL,reading_score,low,mean,408.979331965128
2000,BEL,reading_score,low,mean_se,8.09707554580938
2000,BEL,reading_score,medium,mean,469.542735227741
2000,BEL,reading_score,medium,mean_se,5.45971914110306
2000,BGR,math_score,high,mean,439.974591592058
2000,BGR,math_score,high,mean_se,31.1001761843243
2000,BGR,math_score,low,mean,304.7194189508
2000,BGR,math_score,low,mean_se,812.120007045385
2000,BGR,math_score,medium,mean,340.078133219483
2000,BGR,math_score,medium,mean_se,265.526114232014
2000,BGR,reading_score,high,mean,439.260295415664
2000,BGR,reading_score,high,mean_se,4.76982910901055
2000,BGR,reading_score,low,mean,283.507472194491
2000,BGR,reading_score,low,mean_se,38.2224054323574
2000,BGR,reading_score,medium,mean,348.301308551061
2000,BGR,reading_score,medium,mean_se,9.86283314218286
2000,CZE,math_score,high,mean,519.684547479458
2000,CZE,math_score,high,mean_se,8.8086572198505
2000,CZE,math_score,low,mean,344.743335642155
2000,CZE,math_score,low,mean_se,212.074503719573
2000,CZE,math_score,medium,mean,455.363724340308
2000,CZE,math_score,medium,mean_se,12.8042130950757
2000,CZE,reading_score,high,mean,515.915076951331
2000,CZE,reading_score,high,mean_se,2.45279852089152
2000,CZE,reading_score,low,mean,311.06621427785
2000,CZE,reading_score,low,mean_se,32.9767174685937
2000,CZE,reading_score,medium,mean,456.07813712693
2000,CZE,reading_score,medium,mean_se,3.29524916917957
2000,DEU,math_score,high,mean,523.62810948551
2000,DEU,math_score,high,mean_se,20.5129360900341
2000,DEU,math_score,low,mean,355.067364708818
2000,DEU,math_score,low,mean_se,553.620494084143
2000,DEU,math_score,medium,mean,483.520847220495
2000,DEU,math_score,medium,mean_se,17.2668230615477
2000,DEU,reading_score,high,mean,523.141242812985
2000,DEU,reading_score,high,mean_se,3.67059864522692
2000,DEU,reading_score,low,mean,381.849264689836
2000,DEU,reading_score,low,mean_se,10.4378551823344
2000,DEU,reading_score,medium,mean,481.332637673433
2000,DEU,reading_score,medium,mean_se,3.19182589481066
2000,DNK,math_score,high,mean,532.473613310019
2000,DNK,math_score,high,mean_se,6.39462351544896
2000,DNK,math_score,low,mean,398.551115616075
2000,DNK,math_score,low,mean_se,132.619169701467
2000,DNK,math_score,medium,mean,490.930503726808
2000,DNK,math_score,medium,mean_se,23.5414244066614
2000,DNK,reading_score,high,mean,519.028461129877
2000,DNK,reading_score,high,mean_se,2.43220063005154
2000,DNK,reading_score,low,mean,381.711590626583
2000,DNK,reading_score,low,mean_se,12.5603306882805
2000,DNK,reading_score,medium,mean,463.934783714432
2000,DNK,reading_score,medium,mean_se,4.27676885957365
2000,ESP,math_score,high,mean,503.572335741686
2000,ESP,math_score,high,mean_se,12.5713054471861
2000,ESP,math_score,low,mean,443.648755981068
2000,ESP,math_score,low,mean_se,14.0534993610067
2000,ESP,math_score,medium,mean,479.206084332101
2000,ESP,math_score,medium,mean_se,18.453889469231
2000,ESP,reading_score,high,mean,519.938031771365
2000,ESP,reading_score,high,mean_se,2.38336433157772
2000,ESP,reading_score,low,mean,459.643128977976
2000,ESP,reading_score,low,mean_se,3.36633745679551
2000,ESP,reading_score,medium,mean,496.50408014511
2000,ESP,reading_score,medium,mean_se,3.33492437556525
2000,FIN,math_score,high,mean,552.884156324896
2000,FIN,math_score,high,mean_se,5.76102829657234
2000,FIN,math_score,low,mean,512.970194966033
2000,FIN,math_score,low,mean_se,22.0567303813213
2000,FIN,math_score,medium,mean,525.551068141257
2000,FIN,math_score,medium,mean_se,6.6119047208565
2000,FIN,reading_score,high,mean,564.366281451689
2000,FIN,reading_score,high,mean_se,2.82086673033043
2000,FIN,reading_score,low,mean,523.570834487332
2000,FIN,reading_score,low,mean_se,4.45548866382483
2000,FIN,reading_score,medium,mean,537.029905473949
2000,FIN,reading_score,medium,mean_se,2.56076335057898
2000,FRA,math_score,high,mean,536.938981101914
2000,FRA,math_score,high,mean_se,7.4629945125336
2000,FRA,math_score,low,mean,467.671458656722
2000,FRA,math_score,low,mean_se,103.233927189208
2000,FRA,math_score,medium,mean,509.277041658999
2000,FRA,math_score,medium,mean_se,11.1447277691925
2000,FRA,reading_score,high,mean,526.083963974144
2000,FRA,reading_score,high,mean_se,2.43161567805088
2000,FRA,reading_score,low,mean,448.059538562941
2000,FRA,reading_score,low,mean_se,9.36901679267922
2000,FRA,reading_score,medium,mean,492.092731003021
2000,FRA,reading_score,medium,mean_se,3.45251973657899
2000,GBR,math_score,high,mean,554.655437004453
2000,GBR,math_score,high,mean_se,10.7272564143891
2000,GBR,math_score,low,mean,464.795862342068
2000,GBR,math_score,low,mean_se,183.666399160392
2000,GBR,math_score,medium,mean,513.248780844615
2000,GBR,math_score,medium,mean_se,9.34987430631825
2000,GBR,reading_score,high,mean,550.63123045483
2000,GBR,reading_score,high,mean_se,3.15248382819652
2000,GBR,reading_score,low,mean,450.306331734769
2000,GBR,reading_score,low,mean_se,13.0913434777222
2000,GBR,reading_score,medium,mean,507.566299023803
2000,GBR,reading_score,medium,mean_se,2.77915725469597
2000,GRC,math_score,high,mean,465.665227752541
2000,GRC,math_score,high,mean_se,36.9966998993493
2000,GRC,math_score,low,mean,401.11364828362
2000,GRC,math_score,low,mean_se,76.3719237160673
2000,GRC,math_score,medium,mean,417.142130108669
2000,GRC,math_score,medium,mean_se,58.9974841069588
2000,GRC,reading_score,high,mean,491.187706054285
2000,GRC,reading_score,high,mean_se,5.01060595429983
2000,GRC,reading_score,low,mean,441.456393870475
2000,GRC,reading_score,low,mean_se,7.15087632308947
2000,GRC,reading_score,medium,mean,442.111755416724
2000,GRC,reading_score,medium,mean_se,6.42954526913297
2000,HUN,math_score,high,mean,518.995209721101
2000,HUN,math_score,high,mean_se,17.0509099100877
2000,HUN,math_score,low,mean,350.924006283922
2000,HUN,math_score,low,mean_se,958.617282875089
2000,HUN,math_score,medium,mean,439.328159700283
2000,HUN,math_score,medium,mean_se,16.4836439327177
2000,HUN,reading_score,high,mean,510.485477951248
2000,HUN,reading_score,high,mean_se,3.71920180859353
2000,HUN,reading_score,low,mean,333.067095085048
2000,HUN,reading_score,low,mean_se,38.6309562599436
2000,HUN,reading_score,medium,mean,435.766325735394
2000,HUN,reading_score,medium,mean_se,4.45705568158403
2000,IRL,math_score,high,mean,517.07648452995
2000,IRL,math_score,high,mean_se,7.73505435179168
2000,IRL,math_score,low,mean,465.348540016543
2000,IRL,math_score,low,mean_se,51.4737697424078
2000,IRL,math_score,medium,mean,482.080470892057
2000,IRL,math_score,medium,mean_se,11.0897741266839
