year,area,concept1,concept2,metric,value
2000,AUT,math_score,reading_score,corr,0.79810568892883
2000,AUT,math_score,reading_score,corr_se,0.0093436488257729
2000,AUT,math_score,escs,corr,0.35988563797372
2000,AUT,math_score,escs,corr_se,0.000496138506614522
2000,AUT,math_score,hisei,corr,0.298083660547057
2000,AUT,math_score,hisei,corr_se,0.000509408256106514
2000,AUT,reading_score,escs,corr,0.365657789460123
2000,AUT,reading_score,escs,corr_se,0.0177651035566044
2000,AUT,reading_score,hisei,corr,0.330825731102541
2000,AUT,reading_score,hisei,corr_se,0.0176529252736505
2000,AUT,escs,hisei,corr,0.794558887623077
2000,AUT,escs,hisei,corr_se,5.27341571948343e-05
2000,BEL,math_score,reading_score,corr,0.871616172091636
2000,BEL,math_score,reading_score,corr_se,0.007216279587351
2000,BEL,math_score,escs,corr,0.390899850621449
2000,BEL,math_score,escs,corr_se,0.000378615705885387
2000,BEL,math_score,hisei,corr,0.389297801098623
2000,BEL,math_score,hisei,corr_se,0.000460518409947984
2000,BEL,reading_score,escs,corr,0.368285889364564
2000,BEL,reading_score,escs,corr_se,0.015718690519347
2000,BEL,reading_score,hisei,corr,0.373658600194941
2000,BEL,reading_score,hisei,corr_se,0.0184771396294748
2000,BEL,escs,hisei,corr,0.78897867849837
2000,BEL,escs,hisei,corr_se,3.2021533658834e-05
2000,BGR,math_score,reading_score,corr,0.80068710076741
2000,BGR,math_score,reading_score,corr_se,0.0145588677684535
2000,BGR,math_score,escs,corr,0.453557648499279
2000,BGR,math_score,escs,corr_se,0.00117761458026175
2000,BGR,math_score,hisei,corr,0.376206923837559
2000,BGR,math_score,hisei,corr_se,0.000973261816286484
2000,BGR,reading_score,escs,corr,0.453357120178493
2000,BGR,reading_score,escs,corr_se,0.0306464693561187
2000,BGR,reading_score,hisei,corr,0.369024487623727
2000,BGR,reading_score,hisei,corr_se,0.0291699536356436
2000,BGR,escs,hisei,corr,0.737453322090731
2000,BGR,escs,hisei,corr_se,9.85710748231396e-05
2000,CZE,math_score,reading_score,corr,0.816008096422199
2000,CZE,math_score,reading_score,corr_se,0.0106292974361234
2000,CZE,math_score,escs,corr,0.479112125840543
2000,CZE,math_score,escs,corr_se,0.000447928999750037
2000,CZE,math_score,hisei,corr,0.384202802385531
2000,CZE,math_score,hisei,corr_se,0.000288911082247645
2000,CZE,reading_score,escs,corr,0.458744046009056
2000,CZE,reading_score,escs,corr_se,0.0191655617714409
2000,CZE,reading_score,hisei,corr,0.386872745916045
2000,CZE,reading_score,hisei,corr_se,0.0149086807551115
2000,CZE,escs,hisei,corr,0.84451863807548
2000,CZE,escs,hisei,corr_se,3.07014569527311e-05
2000,DEU,math_score,reading_score,corr,0.861988941316942
2000,DEU,math_score,reading_score,corr_se,0.00989269322632167
2000,DEU,math_score,escs,corr,0.486666087734521
2000,DEU,math_score,escs,corr_se,0.000591516190834303
2000,DEU,math_score,hisei,corr,0.378838942657745
2000,DEU,math_score,hisei,corr_se,0.00047687408747619
2000,DEU,reading_score,escs,corr,0.476334055113598
2000,DEU,reading_score,escs,corr_se,0.0185778688523964
2000,DEU,reading_score,hisei,corr,0.397616701655442
2000,DEU,reading_score,hisei,corr_se,0.0184530757155609
2000,DEU,escs,hisei,corr,0.761177960619634
2000,DEU,escs,hisei,corr_se,7.88037029488513e-05
2000,DNK,math_score,reading_score,corr,0.839206555987414
2000,DNK,math_score,reading_score,corr_se,0.00884030701482833
2000,DNK,math_score,escs,corr,0.372517359108631
2000,DNK,math_score,escs,corr_se,0.000485752350135388
2000,DNK,math_score,hisei,corr,0.288532855365919
2000,DNK,math_score,hisei,corr_se,0.000616884678126496
2000,DNK,reading_score,escs,corr,0.39745800846722
2000,DNK,reading_score,escs,corr_se,0.0154840715335144
2000,DNK,reading_score,hisei,corr,0.305371850265877
2000,DNK,reading_score,hisei,corr_se,0.0197399988432317
2000,DNK,escs,hisei,corr,0.778213350886931
2000,DNK,escs,hisei,corr_se,4.83121039140346e-05
