economy,series,value,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AUT,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.ADT.1524.LT.FM.ZS,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.ADT.LITR.MA.ZS,"Literacy rate, adult male (% of males ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.COM.DURS,"Compulsory education, duration (years)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,13.0,13.0,13.0,13.0,13.0,13.0
AUT,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",,0.988640010356903,0.991699993610382,0.994480013847351,0.99822998046875,0.99397999048233,0.992839992046356,0.993749976158142,0.992730021476746,0.994080007076263,0.99413001537323,0.993900001049042,0.992229998111725,0.994000017642975,0.994009971618652,0.994419991970062,0.981679975986481,0.98580002784729,0.985000014305115,0.989719986915588,0.996230006217957,0.997749984264374,0.994369983673096,0.994989991188049,0.994059979915619,0.991079986095428,0.992959976196289,0.991559982299805,0.991469979286194,0.990920007228851,0.989709973335266,0.989740014076233,0.99032998085022,0.994180023670197,1.00154995918274,0.998470008373261,0.991729974746704,0.987659990787506,0.983439981937408,0.988889992237091,0.987079977989197,0.990520000457764,0.99167001247406,0.989049971103668,0.993589997291565,0.990970015525818,0.994920015335083,0.997269988059998,0.994880020618439,0.99330997467041,0.994930028915405,,
AUT,SE.ENR.PRSC.FM.ZS,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,0.935630023479462,,,,,0.925040006637573,,,,,0.925480008125305,0.935090005397797,0.930199980735779,0.930419981479645,0.946359992027283,0.931739985942841,0.926389992237091,0.931770026683807,0.944019973278046,0.940590023994446,0.946959972381592,0.946590006351471,0.9514399766922,0.955340027809143,0.955839991569519,0.960539996623993,0.965650022029877,0.961279988288879,0.966949999332428,0.969690024852753,0.969579994678497,0.964429974555969,0.96341997385025,0.963039994239807,0.966250002384186,0.969860017299652,0.968810021877289,0.96560001373291,0.965240001678467,0.968720018863678,0.970080018043518,0.971570014953613,0.972970008850098,0.972320020198822,0.97282999753952,0.971989989280701,0.97172999382019,0.974089980125427,0.980939984321594,0.985939979553223,,
