year,area,concept,books,metric,value
2000,AUT,books,0_10,freq,7.55165142182178
2000,AUT,books,0_10,freq_se,0.549814879076599
2000,AUT,books,101_200,freq,23.8612580546154
2000,AUT,books,101_200,freq_se,0.792396611055747
2000,AUT,books,11_25,freq,18.3020484581717
2000,AUT,books,11_25,freq_se,0.707425033060278
2000,AUT,books,201_500,freq,14.987534778419
2000,AUT,books,201_500,freq_se,0.777648116307196
2000,AUT,books,26_100,freq,25.0116546801276
2000,AUT,books,26_100,freq_se,0.830983331683094
2000,AUT,books,more_500,freq,10.2858526068444
2000,AUT,books,more_500,freq_se,0.599593502743373
2000,BEL,books,0_10,freq,16.1691496129943
2000,BEL,books,0_10,freq_se,0.675241736277743
2000,BEL,books,101_200,freq,17.7396991596705
2000,BEL,books,101_200,freq_se,0.404397181402667
2000,BEL,books,11_25,freq,22.7793881691679
2000,BEL,books,11_25,freq_se,0.644503568772673
2000,BEL,books,201_500,freq,13.2091895242521
2000,BEL,books,201_500,freq_se,0.511239087792286
2000,BEL,books,26_100,freq,20.3416024056583
2000,BEL,books,26_100,freq_se,0.55604635432483
2000,BEL,books,more_500,freq,9.76097112825686
2000,BEL,books,more_500,freq_se,0.507252454651129
2000,BGR,books,0_10,freq,9.99301086698718
2000,BGR,books,0_10,freq_se,0.772663996905688
2000,BGR,books,101_200,freq,21.2468556094325
2000,BGR,books,101_200,freq_se,0.866894485166309
2000,BGR,books,11_25,freq,14.9469507061884
2000,BGR,books,11_25,freq_se,0.734532957836105
2000,BGR,books,201_500,freq,17.1658658770324
2000,BGR,books,201_500,freq_se,0.861466119304253
2000,BGR,books,26_100,freq,20.6880985579122
2000,BGR,books,26_100,freq_se,0.703949527044309
2000,BGR,books,more_500,freq,15.9592183824474
2000,BGR,books,more_500,freq_se,1.01383090769802
2000,CZE,books,0_10,freq,3.66955025749193
2000,CZE,books,0_10,freq_se,0.488427222250052
2000,CZE,books,101_200,freq,27.7548160371008
2000,CZE,books,101_200,freq_se,0.686417516546159
2000,CZE,books,11_25,freq,12.0243621151049
2000,CZE,books,11_25,freq_se,0.441880363072844
2000,CZE,books,201_500,freq,21.0730034345932
