,Field (ISCED-F 2013),Country,Year,Enrollment Count,Total,Distribution (%),Enrollment Growth Rate (%),Weighted Enrollment Growth Rate (%),Total Growth Rate (%)
0,"Agriculture, forestry, fisheries and veterinary",European Union,2016,50739.0,3152474.0,1.609497810291219,,,
1,"Agriculture, forestry, fisheries and veterinary",European Union,2017,49867.0,3170104.0,1.573039875032491,-1.7185991052247778,-0.02750698399800133,0.5592433117608583
2,"Agriculture, forestry, fisheries and veterinary",European Union,2018,50718.0,3216104.0,1.5770012412533922,1.706539394790142,0.02646058709544219,1.4510564953074097
3,"Agriculture, forestry, fisheries and veterinary",European Union,2019,49985.0,3349200.0,1.492445957243521,-1.4452462636539296,-0.021885823480234087,4.1384233843184175
4,"Agriculture, forestry, fisheries and veterinary",European Union,2020,44368.0,2801867.0,1.5835155630156605,-11.237371211363408,-0.20047347001124605,-16.342201122656157
5,"Agriculture, forestry, fisheries and veterinary",European Union,2021,45491.0,2849928.0,1.5962157640473724,2.5311034980165887,0.03940450425414257,1.7153205344864693
6,"Agriculture, forestry, fisheries and veterinary",European Union,2022,41245.0,2818346.0,1.4634470004747466,-9.333714361082412,-0.15065573921725722,-1.10816834670911
7,Arts and humanities,European Union,2016,467003.0,3152474.0,14.81385730699127,,,
8,Arts and humanities,European Union,2017,463553.0,3170104.0,14.622643294983382,-0.7387532842401441,-0.1088292371480557,0.5592433117608583
9,Arts and humanities,European Union,2018,469278.0,3216104.0,14.591505747326579,1.235025984083805,0.17801041259859757,1.4510564953074097
10,Arts and humanities,European Union,2019,475398.0,3349200.0,14.194374776065926,1.3041310268113997,0.1827302042278753,4.1384233843184175
11,Arts and humanities,European Union,2020,382765.0,2801867.0,13.6610695654005,-19.485357532004763,-3.306116957014733,-16.342201122656157
12,Arts and humanities,European Union,2021,389844.0,2849928.0,13.679082418924267,1.8494376445077267,0.2483922400846618,1.7153205344864693
13,Arts and humanities,European Union,2022,371992.0,2818346.0,13.198947183915672,-4.579267604477689,-0.633421162625171,-1.10816834670911
14,"Business, administration and law",European Union,2016,679045.0,3152474.0,21.540066627036417,,,
15,"Business, administration and law",European Union,2017,686480.0,3170104.0,21.654810063013706,1.0949200715711034,0.23453489223066495,0.5592433117608583
16,"Business, administration and law",European Union,2018,689941.0,3216104.0,21.452695559596332,0.5041661810977742,0.10761467912729192,1.4510564953074097
17,"Business, administration and law",European Union,2019,755524.0,3349200.0,22.558342290696284,9.505595405983989,1.95816911501254,4.1384233843184175
18,"Business, administration and law",European Union,2020,636057.0,2801867.0,22.7011846029808,-15.812469226655937,-4.263835506824557,-16.342201122656157
19,"Business, administration and law",European Union,2021,651626.0,2849928.0,22.864647808646392,2.447736602222757,0.5462945028786692,1.7153205344864693
20,"Business, administration and law",European Union,2022,651603.0,2818346.0,23.12004984483807,-0.0035296320281879485,-0.0008160814889300321,-1.10816834670911
21,Education,European Union,2016,197463.0,3152474.0,6.263747139548177,,,
22,Education,European Union,2017,208419.0,3170104.0,6.574516167292934,5.5483812157214265,0.3456038035345213,0.5592433117608583
23,Education,European Union,2018,207545.0,3216104.0,6.453304992624616,-0.41934756428156744,-0.02717573809802171,1.4510564953074097
24,Education,European Union,2019,210481.0,3349200.0,6.284515705243043,1.4146329711628804,0.08766272542696764,4.1384233843184175
25,Education,European Union,2020,187795.0,2801867.0,6.7024951576930665,-10.778170001092736,-0.8096744063868843,-16.342201122656157
26,Education,European Union,2021,187922.0,2849928.0,6.593920969231504,0.0676269336244309,0.00445625292989858,1.7153205344864693
27,Education,European Union,2022,184438.0,2818346.0,6.544192941533793,-1.8539606858164557,-0.1236186046709666,-1.10816834670911
28,"Engineering, manufacturing and construction",European Union,2016,471657.0,3152474.0,14.961487390538352,,,
29,"Engineering, manufacturing and construction",European Union,2017,454916.0,3170104.0,14.350191665636206,-3.549401365823045,-0.528089930172638,0.5592433117608583
30,"Engineering, manufacturing and construction",European Union,2018,455320.0,3216104.0,14.157502369326364,0.08880760404118562,0.0125617828279185,1.4510564953074097
31,"Engineering, manufacturing and construction",European Union,2019,488643.0,3349200.0,14.589842350412038,7.318589124132478,0.9949540188701779,4.1384233843184175
32,"Engineering, manufacturing and construction",European Union,2020,424050.0,2801867.0,15.134551354507549,-13.218853027670507,-2.3053556789098124,-16.342201122656157
33,"Engineering, manufacturing and construction",European Union,2021,417841.0,2849928.0,14.661458114029548,-1.464214125692725,-0.21786515308456916,1.7153205344864693
34,"Engineering, manufacturing and construction",European Union,2022,421362.0,2818346.0,14.950683840805919,0.8426650328713554,0.12493143141402793,-1.10816834670911
35,Health and welfare,European Union,2016,315939.0,3152474.0,10.021938325264538,,,
36,Health and welfare,European Union,2017,330803.0,3170104.0,10.435083517764717,4.7047056552055935,0.4688805162228116,0.5592433117608583
