DATAFLOW,LAST UPDATE,freq,unit,isced11,iscedf13,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Austria,2013,12.6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Austria,2014,13.3,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Austria,2015,16,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Austria,2016,16,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Austria,2017,14,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Austria,2018,15,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Austria,2019,15,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Austria,2020,14,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Austria,2021,13,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Austria,2022,13,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Belgium,2013,11.6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Belgium,2014,11.3,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Belgium,2015,10.8,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Belgium,2016,10.0,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Belgium,2017,10.5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Belgium,2018,10,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Belgium,2019,9,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Belgium,2020,9,d
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Belgium,2021,8,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Belgium,2022,8,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Bulgaria,2013,8.6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Bulgaria,2014,8.0,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Bulgaria,2015,9,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Bulgaria,2016,9,e
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Bulgaria,2017,10,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Bulgaria,2018,11,d
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Bulgaria,2019,12,e
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Bulgaria,2020,13,e
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Bulgaria,2021,13,e
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Bulgaria,2022,13,e
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Cyprus,2013,6.1,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Cyprus,2014,6.0,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Cyprus,2015,5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Cyprus,2016,3,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Cyprus,2017,3,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Cyprus,2018,3,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Cyprus,2019,2,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Cyprus,2020,2,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Cyprus,2021,3,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Cyprus,2022,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Czechia,2013,7.0,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Czechia,2014,7.1,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Czechia,2015,7,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Czechia,2016,7,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Czechia,2017,7,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Czechia,2018,8,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Czechia,2019,8,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Czechia,2020,10,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Czechia,2021,10,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Czechia,2022,11,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Germany,2013,9.6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Germany,2014,9.2,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Germany,2015,9,
