"Degree","Country","Year","Over-qualification (%)","Undergraduate enrollment (%)"
"Arts and humanities","Austria",2013,,15.3
"Arts and humanities","Austria",2014,,15.3
"Arts and humanities","Austria",2015,23.8,15
"Arts and humanities","Austria",2016,35.4,13
"Arts and humanities","Austria",2017,29.9,12
"Arts and humanities","Austria",2018,31.5,13
"Arts and humanities","Austria",2019,26.4,12
"Arts and humanities","Austria",2020,27.9,12
"Arts and humanities","Austria",2021,28.6,13
"Arts and humanities","Austria",2022,,12
"Arts and humanities","Belgium",2013,,11.2
"Arts and humanities","Belgium",2014,25.9,10.9
"Arts and humanities","Belgium",2015,,9.7
"Arts and humanities","Belgium",2016,21.7,10.4
"Arts and humanities","Belgium",2017,32.4,9.6
"Arts and humanities","Belgium",2018,29.3,10
"Arts and humanities","Belgium",2019,32.2,10
"Arts and humanities","Belgium",2021,24.9,9
"Arts and humanities","Belgium",2022,40,9
"Arts and humanities","Bulgaria",2013,,9.4
"Arts and humanities","Bulgaria",2014,,9.2
"Arts and humanities","Bulgaria",2015,,9
"Arts and humanities","Bulgaria",2017,,10
"Arts and humanities","Cyprus",2013,,10
"Arts and humanities","Cyprus",2014,51,10.9
"Arts and humanities","Cyprus",2015,40.9,9
"Arts and humanities","Cyprus",2016,46.9,10
"Arts and humanities","Cyprus",2017,49.3,9
"Arts and humanities","Cyprus",2018,,9
"Arts and humanities","Cyprus",2019,27.5,7
"Arts and humanities","Cyprus",2020,42.2,8
"Arts and humanities","Cyprus",2021,,9
"Arts and humanities","Cyprus",2022,,11
"Arts and humanities","Czechia",2013,20.7,8.8
"Arts and humanities","Czechia",2014,25,8.7
"Arts and humanities","Czechia",2015,23,9
"Arts and humanities","Czechia",2016,24.7,9
"Arts and humanities","Czechia",2017,16.3,9
"Arts and humanities","Czechia",2018,17.8,9
"Arts and humanities","Czechia",2019,15.9,10
"Arts and humanities","Czechia",2020,17.5,10
"Arts and humanities","Czechia",2021,14.9,10
"Arts and humanities","Czechia",2022,29.1,9
"Arts and humanities","Germany",2013,12.6,9.1
"Arts and humanities","Germany",2014,12.1,8.9
"Arts and humanities","Germany",2015,11.8,9
"Arts and humanities","Germany",2016,17.3,8.7
"Arts and humanities","Germany",2017,15.5,8.6
"Arts and humanities","Germany",2018,14.3,8
"Arts and humanities","Germany",2019,18,7
"Arts and humanities","Germany",2020,,7
"Arts and humanities","Germany",2021,,7
"Arts and humanities","Germany",2022,,6
"Arts and humanities","Denmark",2013,,13.4
"Arts and humanities","Denmark",2014,,13.4
"Arts and humanities","Denmark",2015,,12
"Arts and humanities","Denmark",2016,27.6,11
"Arts and humanities","Denmark",2017,32.9,11
"Arts and humanities","Denmark",2018,,10
