,Degree,Country,Year,Undergraduate_enrollment,Total,Percentage,Undergraduate_enrollment_Lag,Change_rate,Proportional_Change,Tertiary Enrollment (%),Government expenditure on tertiary education (%),Individuals using the Internet (%)
0,"Agriculture, forestry, fisheries and veterinary",Austria,2014,351,43288,0.8108482720384402,386.0,-9.067357512953368,-0.07352251171333007,32.51695,80.9958,81.0195693969727
1,"Agriculture, forestry, fisheries and veterinary",Austria,2015,393,45364,0.8663257208359051,351.0,11.965811965811966,0.1036629067666895,32.63359,83.9401,82.2563095092773
2,"Agriculture, forestry, fisheries and veterinary",Austria,2016,329,47580,0.6914670029424128,393.0,-16.28498727735369,-0.11260531345627078,32.48871,84.3237,82.8496932983398
3,"Agriculture, forestry, fisheries and veterinary",Austria,2017,330,45180,0.7304116865869854,329.0,0.303951367781155,0.002220096311814545,,87.9356,83.8392562866211
4,"Agriculture, forestry, fisheries and veterinary",Austria,2018,261,43796,0.595944835144762,330.0,-20.909090909090907,-0.12460664734845024,,87.4791,85.8698883056641
5,"Agriculture, forestry, fisheries and veterinary",Austria,2019,288,43186,0.6668827860880842,261.0,10.344827586206897,0.06898787442290526,,87.7522,86.3234329223633
6,"Agriculture, forestry, fisheries and veterinary",Austria,2020,304,42257,0.7194074354544809,288.0,5.555555555555555,0.039967079747471164,,87.5294,88.7071990966797
7,"Agriculture, forestry, fisheries and veterinary",Austria,2021,334,46975,0.711016498137307,304.0,9.868421052631579,0.07016610178986583,,92.5292,93.940071105957
8,"Agriculture, forestry, fisheries and veterinary",Austria,2022,246,42168,0.5833807626636311,334.0,-26.34730538922156,-0.15370511112095675,,93.6141,94.5116882324219
9,Arts and humanities,Austria,2014,6604,43288,15.255960081315838,7317.0,-9.74443077764111,-1.4866064695883823,32.51695,80.9958,81.0195693969727
10,Arts and humanities,Austria,2015,6593,45364,14.533550833259854,6604.0,-0.1665657177468201,-0.02420791325951823,32.63359,83.9401,82.2563095092773
11,Arts and humanities,Austria,2016,6213,47580,13.058007566204287,6593.0,-5.763688760806916,-0.7526229144786333,32.48871,84.3237,82.8496932983398
12,Arts and humanities,Austria,2017,5567,45180,12.32182381584772,6213.0,-10.397553516819572,-1.2811682255009862,,87.9356,83.8392562866211
13,Arts and humanities,Austria,2018,5569,43796,12.715773129966207,5567.0,0.03592599245554159,0.004568267695335444,,87.4791,85.8698883056641
14,Arts and humanities,Austria,2019,5234,43186,12.11966841105914,5569.0,-6.015442628838211,-0.7290517000726902,,87.7522,86.3234329223633
15,Arts and humanities,Austria,2020,5275,42257,12.483138888231535,5234.0,0.7833397019487964,0.09778538296092722,,87.5294,88.7071990966797
16,Arts and humanities,Austria,2021,6183,46975,13.162320383182545,5275.0,17.213270142180097,2.2656657645364455,,92.5292,93.940071105957
17,Arts and humanities,Austria,2022,5153,42168,12.220166951242648,6183.0,-16.65857997735727,-2.035706284939338,,93.6141,94.5116882324219
18,"Business, administration and law",Austria,2014,8010,43288,18.50397338754389,9800.0,-18.26530612244898,-3.3798073840513845,32.51695,80.9958,81.0195693969727
19,"Business, administration and law",Austria,2015,5806,45364,12.798695000440878,8010.0,-27.51560549313358,-3.5216384245907237,32.63359,83.9401,82.2563095092773
20,"Business, administration and law",Austria,2016,6483,47580,13.62547288776797,5806.0,11.660351360661386,1.5887780132654006,32.48871,84.3237,82.8496932983398
21,"Business, administration and law",Austria,2017,6766,45180,14.975652943780434,6483.0,4.365262995526762,0.6537266362933615,,87.9356,83.8392562866211
22,"Business, administration and law",Austria,2018,6766,43796,15.448899442871495,6766.0,0.0,0.0,,87.4791,85.8698883056641
23,"Business, administration and law",Austria,2019,8336,43186,19.302551752882877,6766.0,23.20425657700266,4.479013634647668,,87.7522,86.3234329223633
24,"Business, administration and law",Austria,2020,7941,42257,18.792152779421162,8336.0,-4.738483685220729,-0.8904630935546255,,87.5294,88.7071990966797
25,"Business, administration and law",Austria,2021,8897,46975,18.93986162852581,7941.0,12.038786047097343,2.280129419074509,,92.5292,93.940071105957
26,"Business, administration and law",Austria,2022,8315,42168,19.718744071333713,8897.0,-6.54153085309655,-1.2899077272694415,,93.6141,94.5116882324219
27,Education,Austria,2014,5773,43288,13.336259471447052,6031.0,-4.2778975294312716,-0.5705115144475773,32.51695,80.9958,81.0195693969727
28,Education,Austria,2015,7092,45364,15.633542015695266,5773.0,22.84773947687511,3.5719109507538636,32.63359,83.9401,82.2563095092773
29,Education,Austria,2016,7577,47580,15.924758301807483,7092.0,6.838691483361534,1.089045089731617,32.48871,84.3237,82.8496932983398
30,Education,Austria,2017,6478,45180,14.338202744577247,7577.0,-14.504421274910914,-2.079673329324323,,87.9356,83.8392562866211
31,Education,Austria,2018,6495,43796,14.830121472280574,6478.0,0.2624266748996604,0.03891819466328647,,87.4791,85.8698883056641
32,Education,Austria,2019,6615,43186,15.31746399296068,6495.0,1.8475750577367205,0.2830016442117447,,87.7522,86.3234329223633
33,Education,Austria,2020,5948,42257,14.075774427905436,6615.0,-10.083144368858655,-1.4192806566005933,,87.5294,88.7071990966797
34,Education,Austria,2021,6333,46975,13.481639169771155,5948.0,6.472763954270342,0.8726346806257387,,92.5292,93.940071105957
35,Education,Austria,2022,5643,42168,13.382185543540125,6333.0,-10.895310279488395,-1.4580306371455374,,93.6141,94.5116882324219
36,"Engineering, manufacturing and construction",Austria,2014,7763,43288,17.933376455368695,8139.0,-4.619732153827251,-0.8284739583755534,32.51695,80.9958,81.0195693969727
37,"Engineering, manufacturing and construction",Austria,2015,7986,45364,17.604267701260913,7763.0,2.8726007986603115,0.5057003345847202,32.63359,83.9401,82.2563095092773
38,"Engineering, manufacturing and construction",Austria,2016,7405,47580,15.563261874737284,7986.0,-7.275231655396945,-1.132263354523211,32.48871,84.3237,82.8496932983398
39,"Engineering, manufacturing and construction",Austria,2017,6945,45180,15.371845949535192,7405.0,-6.212018906144497,-0.9549019766085333,,87.9356,83.8392562866211
40,"Engineering, manufacturing and construction",Austria,2018,6643,43796,15.168051876883734,6945.0,-4.348452123830093,-0.659575473984001,,87.4791,85.8698883056641
41,"Engineering, manufacturing and construction",Austria,2019,6289,43186,14.562589728152641,6643.0,-5.328917657684781,-0.7760284154397162,,87.7522,86.3234329223633
42,"Engineering, manufacturing and construction",Austria,2020,5963,42257,14.111271505312729,6289.0,-5.183653999045953,-0.7314794897013753,,87.5294,88.7071990966797
43,"Engineering, manufacturing and construction",Austria,2021,6451,46975,13.732836615220862,5963.0,8.183800100620493,1.1238678967344928,,92.5292,93.940071105957
44,"Engineering, manufacturing and construction",Austria,2022,5506,42168,13.05729463099981,6451.0,-14.648891644706246,-1.9127489422252086,,93.6141,94.5116882324219
45,Health and welfare,Austria,2014,1837,43288,4.243670301238218,1658.0,10.796139927623644,0.45815258378868584,32.51695,80.9958,81.0195693969727
