"Degree","Country","Year","Undergraduate enrollment","Undergraduate enrollment total","Undergraduate enrollment (%)","Undergraduate enrollment(-1)","Undergraduate enrollment total(-1)","Field Change rate","Proportional Change"
"Arts and humanities","Austria",2013,7317,73180,9.99863350642252,,,,
"Arts and humanities","Austria",2014,6604,69404,9.515301711716903,7317,73180,-9.74443077764111,-0.9272119885819534
"Arts and humanities","Austria",2015,6593,68524,9.621446500496177,6604,69404,-0.1665657177468201,-0.016026031421177762
"Arts and humanities","Austria",2016,6213,66328,9.367084790736945,6593,68524,-5.763688760806916,-0.5398896132989592
"Arts and humanities","Austria",2017,5567,66646,8.353089457731897,6213,66328,-10.397553516819572,-0.8685169466754877
"Arts and humanities","Austria",2018,5569,67177,8.290039745746313,5567,66646,0.03592599245554159,0.002978279053618219
"Arts and humanities","Austria",2019,5234,68728,7.615527878011873,5569,67177,-6.015442628838211,-0.4581077103849842
"Arts and humanities","Austria",2020,5275,67623,7.800600387442143,5234,68728,0.7833397019487964,0.061105199825205944
"Arts and humanities","Austria",2021,6183,68067,9.083696945656486,5275,67623,17.213270142180097,1.5636012941528132
"Arts and humanities","Austria",2022,5153,67217,7.666215391939539,6183,68067,-16.65857997735727,-1.2770826223027212
"Arts and humanities","Belgium",2013,10236,43949,23.290632323829893,5153,67217,98.64156801862993,22.97424492567967
"Arts and humanities","Belgium",2014,9834,38983,25.226380730061823,10236,43949,-3.9273153575615476,-0.9907195245686647
"Arts and humanities","Belgium",2015,8840,38031,23.24419552470353,9834,38983,-10.107789302420175,-2.3494743086796124
"Arts and humanities","Belgium",2016,10191,19511,52.23207421454564,8840,38031,15.282805429864254,7.982526274191309
"Arts and humanities","Belgium",2017,9999,19124,52.28508680192429,10191,19511,-1.8840153076243746,-0.9850590389529451
"Arts and humanities","Belgium",2018,9285,35811,25.92778755131105,9999,19124,-7.140714071407141,-1.851429174081017
"Arts and humanities","Belgium",2019,8955,48527,18.453644362931975,9285,35811,-3.5541195476575123,-0.655864581558164
"Arts and humanities","Belgium",2020,8793,48118,18.2738268423459,8955,48527,-1.809045226130653,-0.3305817921228404
"Arts and humanities","Belgium",2021,8530,49105,17.370939822828632,8793,48118,-2.991015580575458,-0.5195675165931912
"Arts and humanities","Belgium",2022,8966,49500,18.113131313131312,8530,49105,5.1113716295427905,0.9258294551612255
"Arts and humanities","Bulgaria",2013,4871,32184,15.134849614715387,8966,49500,-45.67254070934642,-6.912470351579246
"Arts and humanities","Bulgaria",2014,4686,34150,13.72181551976574,4871,32184,-3.7979880927940877,-0.521152919555874
"Arts and humanities","Bulgaria",2015,4468,35091,12.732609501011655,4686,34150,-4.6521553563807085,-0.5923407749083527
"Arts and humanities","Bulgaria",2016,4236,32909,12.871858762040779,4468,35091,-5.192479856759177,-0.6683686734094587
"Arts and humanities","Bulgaria",2017,3964,30753,12.889799369167235,4236,32909,-6.421152030217186,-0.8276736138842039
"Arts and humanities","Bulgaria",2018,4245,43444,9.77119970536783,3964,30753,7.088799192734611,0.6926607258346014
"Arts and humanities","Bulgaria",2019,4562,28538,15.98570327282921,4245,43444,7.467608951707892,1.1937498085952556
"Arts and humanities","Bulgaria",2020,4750,30004,15.831222503666178,4562,28538,4.1209995615957915,0.6524046099713375
"Arts and humanities","Bulgaria",2021,4648,32437,14.329315288096927,4750,30004,-2.1473684210526316,-0.30770319144966035
"Arts and humanities","Bulgaria",2022,4729,35266,13.409516247944195,4648,32437,1.742685025817556,0.23368563168749565
"Arts and humanities","Cyprus",2013,552,1521,36.29191321499014,4729,35266,-88.32734193275535,-32.055682279343166
"Arts and humanities","Cyprus",2014,559,1647,33.940497874924105,552,1521,1.2681159420289856,0.4304048643559216
"Arts and humanities","Cyprus",2015,492,1522,32.32588699080158,559,1647,-11.985688729874775,-3.874480193888561
"Arts and humanities","Cyprus",2016,564,1727,32.65778807180081,492,1522,14.634146341463413,4.779188498312313
"Arts and humanities","Cyprus",2017,531,1661,31.96869355809753,564,1727,-5.851063829787234,-1.8705086656333665
"Arts and humanities","Cyprus",2018,545,1572,34.66921119592875,531,1661,2.6365348399246704,0.9140658319077261
"Arts and humanities","Cyprus",2019,500,1629,30.693677102516883,545,1572,-8.256880733944955,-2.5343403112169907
"Arts and humanities","Cyprus",2020,574,1715,33.46938775510204,500,1629,14.799999999999999,4.953469387755102
"Arts and humanities","Cyprus",2021,576,1679,34.306134603930914,574,1715,0.34843205574912894,0.11953357004853976
"Arts and humanities","Cyprus",2022,573,1720,33.31395348837209,576,1679,-0.5208333333333333,-0.17351017441860464
"Arts and humanities","Czechia",2013,7303,64090,11.394913403026994,573,1720,1174.5200698080278,133.83554485579694
"Arts and humanities","Czechia",2014,6739,63241,10.656061732104172,7303,64090,-7.722853621799261,-0.8229520494189722
"Arts and humanities","Czechia",2015,6029,63132,9.549832097826776,6739,63241,-10.535687787505564,-1.006140494058022
"Arts and humanities","Czechia",2016,5945,62722,9.478332961321387,6029,63132,-1.3932658815724002,-0.1320583792919218
"Arts and humanities","Czechia",2017,5348,62839,8.51063829787234,5945,62722,-10.042052144659378,-0.8546427357156917
"Arts and humanities","Czechia",2018,5449,63883,8.529655776967267,5348,62839,1.888556469708302,0.16108736601976328
"Arts and humanities","Czechia",2019,5640,66220,8.517064331017819,5449,63883,3.5052303174894472,0.2985427210909164
"Arts and humanities","Czechia",2020,5920,67725,8.74123292727944,5640,66220,4.964539007092199,0.4339619183755751
"Arts and humanities","Czechia",2021,6575,71044,9.254827993919262,5920,67725,11.06418918918919,1.0239716783812696
"Arts and humanities","Czechia",2022,6231,72911,8.546035577622032,6575,71044,-5.231939163498099,-0.44712338231208815
"Arts and humanities","Germany",2013,40227,479489,8.38955638189823,6231,72911,545.5946076071257,45.772967221796215
"Arts and humanities","Germany",2014,40773,481068,8.475516974731223,40227,479489,1.3572973376090685,0.11503796624663155
"Arts and humanities","Germany",2015,39404,475070,8.294356621129518,40773,481068,-3.357614107374979,-0.2784924880270353
"Arts and humanities","Germany",2016,39160,463256,8.453209456542387,39404,475070,-0.619226474469597,-0.052344510897278
"Arts and humanities","Germany",2017,38422,450535,8.528083278768575,39160,463256,-1.884576098059244,-0.16071821909425965
"Arts and humanities","Germany",2018,36314,448728,8.092653010286856,38422,450535,-5.486440060382073,-0.44399855670409377
"Arts and humanities","Germany",2019,36087,468056,7.709974874801306,36314,448728,-0.6251032659580327,-0.04819530474692671
"Arts and humanities","Germany",2020,34648,473158,7.322712497728031,36087,468056,-3.987585557125835,-0.2919994259492515
"Arts and humanities","Germany",2021,33994,422542,8.045117408446972,34648,473158,-1.8875548372200415,-0.15185600280317244
"Arts and humanities","Germany",2022,30310,427472,7.090522888048808,33994,422542,-10.837206565864564,-0.7684146119777551
"Arts and humanities","Denmark",2013,6840,36396,18.793273986152325,30310,427472,-77.43319036621577,-14.552231621741837
"Arts and humanities","Denmark",2014,6973,35960,19.39098998887653,6840,36396,1.9444444444444444,0.3770470275614881
"Arts and humanities","Denmark",2015,6221,35877,17.33979987178415,6973,35960,-10.78445432382045,-1.8700027970144386
"Arts and humanities","Denmark",2016,5993,29047,20.632079044307503,6221,35877,-3.6650056261051276,-0.756166857756327
"Arts and humanities","Denmark",2017,5754,28530,20.16824395373291,5993,29047,-3.9879859836475884,-0.8043067420227207
"Arts and humanities","Denmark",2018,5208,28869,18.040112231112957,5754,28530,-9.48905109489051,-1.711835467185901
"Arts and humanities","Denmark",2019,4938,29926,16.50070173093631,5208,28869,-5.184331797235023,-0.8554511266038409
"Arts and humanities","Denmark",2020,4873,29476,16.532093906907313,4938,29926,-1.3163223977318752,-0.2176156549106876
"Arts and humanities","Denmark",2021,4807,31577,15.223105424834532,4873,29476,-1.3544018058690745,-0.20618201478331197
"Arts and humanities","Denmark",2022,4371,28676,15.242711675268517,4807,31577,-9.07010609527772,-1.3825301207441385
"Arts and humanities","Estonia",2013,1461,6172,23.671419313026572,4371,28676,-66.5751544269046,-15.75928396268756
"Arts and humanities","Estonia",2014,1373,5045,27.215064420218038,1461,6172,-6.023271731690623,-1.6392372819843857
"Arts and humanities","Estonia",2015,1212,5889,20.580743759551705,1373,5045,-11.726147123088127,-2.413328292270812
"Arts and humanities","Estonia",2016,880,6019,14.620368832031899,1212,5889,-27.39273927392739,-4.004919515045041
"Arts and humanities","Estonia",2017,927,6677,13.883480605062154,880,6019,5.340909090909091,0.741504077770365
"Arts and humanities","Estonia",2018,916,6781,13.508332104409378,927,6677,-1.186623516720604,-0.16029304546764095
"Arts and humanities","Estonia",2019,918,6858,13.385826771653543,916,6781,0.21834061135371177,0.029226696007977167
"Arts and humanities","Estonia",2020,944,7085,13.32392378263938,918,6858,2.832244008714597,0.3773660330595031
"Arts and humanities","Estonia",2021,939,7675,12.234527687296417,944,7085,-0.5296610169491525,-0.06480152376745983
"Arts and humanities","Estonia",2022,919,7161,12.8334031559838,939,7675,-2.1299254526091587,-0.27334192025524606
"Arts and humanities","Greece",2013,11115,43049,25.819415085135542,919,7161,1109.4668117519043,286.45784135804354
"Arts and humanities","Greece",2014,8885,29474,30.14521272986361,11115,43049,-20.0629779577148,-6.048027385298772
"Arts and humanities","Greece",2015,10075,38686,26.043012976270486,8885,29474,13.393359594822735,3.488034377238253
"Arts and humanities","Greece",2016,9354,46156,20.26605425080163,10075,38686,-7.156327543424318,-1.4503052223154318
"Arts and humanities","Greece",2017,9910,41721,23.75302605402555,9354,46156,5.943981184519991,1.41187539940541
"Arts and humanities","Greece",2018,10974,42353,25.910797346114798,9910,41721,10.736629667003026,2.781946354819994
"Arts and humanities","Greece",2019,11417,42975,26.566608493310063,10974,42353,4.036814288317842,1.072444647579402
"Arts and humanities","Greece",2020,11140,44540,25.01122586439156,11417,42975,-2.426206534115792,-0.6068239961843269
"Arts and humanities","Greece",2021,10646,48971,21.73939678585285,11140,44540,-4.434470377019749,-0.9640271106114281
"Arts and humanities","Greece",2022,7488,44706,16.749429606764192,10646,48971,-29.663723464211913,-4.968504480383367
"Arts and humanities","Spain",2013,30712,206977,14.83836368292129,7488,44706,310.14957264957263,46.02112155076977
"Arts and humanities","Spain",2014,30472,201697,15.10781023019678,30712,206977,-0.7814535035165407,-0.1180605123485031
"Arts and humanities","Spain",2015,30554,207982,14.690694387014261,30472,201697,0.26909950118141246,0.03953258531554114
"Arts and humanities","Spain",2016,30164,206807,14.585579791786545,30554,207982,-1.2764286181841984,-0.1861745145904547
"Arts and humanities","Spain",2017,30564,216731,14.102274247800269,30164,206807,1.3260840737302744,0.1870080128338452
"Arts and humanities","Spain",2018,30347,222025,13.668280599031641,30564,216731,-0.7099856039785368,-0.09704282456451596
"Arts and humanities","Spain",2019,31646,245172,12.907672980601374,30347,222025,4.2804890104458435,0.5525115234389292
"Arts and humanities","Spain",2020,31874,246691,12.920617290456482,31646,245172,0.7204702016052581,0.09308919744119565
"Arts and humanities","Spain",2021,33350,251466,13.262230281628531,31874,246691,4.630733513208257,0.6141385422502262
"Arts and humanities","Spain",2022,32657,259029,12.607468661810067,33350,251466,-2.077961019490255,-0.2619782843368629
"Arts and humanities","European Union - 28 countries (2013-2020)",2016,467003,3582929,13.034112593355882,32657,259029,1330.0241908319808,173.35685055191087
"Arts and humanities","European Union - 28 countries (2013-2020)",2017,463553,3521037,13.165240808318686,467003,3582929,-0.7387532842401441,-0.09725864884957797
"Arts and humanities","European Union - 28 countries (2013-2020)",2018,469278,3447933,13.610415283591648,463553,3521037,1.235025984083805,0.16809216529407034
"Arts and humanities","European Union - 28 countries (2013-2020)",2019,475398,3486591,13.635037777588481,469278,3447933,1.3041310268113997,0.17781875817498694
"Arts and humanities","Finland",2013,3858,50831,7.589856583580886,475398,3486591,-99.18846945086011,-7.528262578769222
"Arts and humanities","Finland",2014,3343,48447,6.90032406547361,3858,50831,-13.34888543286677,-0.9211163539966069
"Arts and humanities","Finland",2015,3321,49883,6.657578734238117,3343,48447,-0.6580915345498056,-0.04381296205600915
"Arts and humanities","Finland",2016,3404,49271,6.908729272797386,3321,49883,2.499247214694369,0.17266622392116318
"Arts and humanities","Finland",2017,3532,52534,6.723264933186127,3404,49271,3.7602820211515864,0.25281372251698714
"Arts and humanities","Finland",2018,3151,54417,5.790469889924105,3532,52534,-10.78708946772367,-0.6246231676277134
"Arts and humanities","Finland",2019,3297,51906,6.351866836203907,3151,54417,4.63344969850841,0.29431055477174556
"Arts and humanities","Finland",2020,3405,51917,6.558545370495214,3297,51906,3.2757051865332123,0.2148386108624456
"Arts and humanities","Finland",2021,3540,52516,6.74080280295529,3405,51917,3.9647577092511015,0.26725649879558416
"Arts and humanities","Finland",2022,3537,55856,6.33235462618161,3540,52516,-0.0847457627118644,-0.005366402225577636
"Arts and humanities","France",2016,98280,314651,31.234605960254378,3537,55856,2678.625954198473,836.6582619429969
"Arts and humanities","France",2017,94565,314538,30.064729857759634,98280,314651,-3.78001628001628,-1.1364516831662297
"Arts and humanities","France",2018,99569,307849,32.34345409600161,94565,314538,5.291598371490509,1.7114856902278017
