DATAFLOW,LAST UPDATE,freq,unit,iscedf13,isced11,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Austria,2013,6031,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Austria,2014,5773,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Austria,2015,7092,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Austria,2016,7577,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Austria,2017,6478,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Austria,2018,6495,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Austria,2019,6615,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Austria,2020,5948,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Austria,2021,6333,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Austria,2022,5643,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Belgium,2013,10613,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Belgium,2014,10180,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Belgium,2015,9877,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Belgium,2016,9784,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Belgium,2017,10909,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Belgium,2018,9054,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Belgium,2019,8514,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Belgium,2020,8464,d
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Belgium,2021,7763,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Belgium,2022,7810,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Bulgaria,2013,4466,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Bulgaria,2014,4057,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Bulgaria,2015,4360,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Bulgaria,2016,4046,e
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Bulgaria,2017,4277,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Bulgaria,2018,4337,d
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Bulgaria,2019,4856,e
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Bulgaria,2020,5256,e
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Bulgaria,2021,5287,e
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Bulgaria,2022,5272,e
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Cyprus,2013,339,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Cyprus,2014,309,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Cyprus,2015,256,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Cyprus,2016,184,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Cyprus,2017,194,
